product_id,category,base_price,competitor_price,promotion_flag,season,customer_segment,day_of_week,channel,current_price,units_sold
1102,Electronics,153.93,23.94,1,Fall,Regular,Tue,Web,111.99,5.0
1435,Home,190.17,250.84,0,Spring,Premium,Sat,Mobile App,190.17,179.0
1860,Electronics,166.57,257.71,0,Summer,Regular,Mon,Web,166.57,141.0
1270,Electronics,215.97,238.38,0,Winter,Regular,Mon,Web,215.97,164.0
1106,Fashion,102.55,255.81,1,Spring,Regular,Mon,Web,81.71,1238.0
1071,Grocery,49.87,,0,Winter,Premium,Sat,Web,49.87,349.0
1700,Electronics,15.11,281.87,0,Summer,Regular,Tue,Mobile App,15.11,2287.0
1020,Home,139.25,177.15,0,Summer,Regular,Sun,Mobile App,139.25,187.0
1614,Electronics,273.27,178.97,1,Summer,Regular,Mon,Web,202.1,114.0
1121,Home,98.53,259.37,1,Spring,Regular,Tue,Web,73.69,278.0
1466,Fashion,66.83,111.33,1,Spring,,Mon,Web,52.83,658.0
1214,Home,278.55,24.52,0,Fall,Regular,Fri,Web,278.55,1.0
1330,Electronics,40.58,227.46,0,Spring,Regular,Tue,Web,40.58,5830.0
1458,Home,25.02,83.83,0,Spring,,Fri,Web,25.02,406.0
1087,Grocery,265.03,147.53,0,Fall,Regular,Mon,Mobile App,265.03,100.0
1372,Home,213.26,,0,Fall,Regular,Tue,Web,213.26,12.0
1099,Fashion,132.4,249.86,0,Summer,Regular,Sat,Web,132.4,519.0
1871,Grocery,228.18,287.9,0,Spring,Regular,Thu,Mobile App,228.18,154.0
1663,Electronics,225.02,25.96,1,Spring,Regular,Fri,Web,179.47,9.0
1130,Home,21.62,77.68,1,Spring,,Sun,Web,18.52,1910.0
1661,Grocery,206.11,64.97,0,Summer,Regular,Wed,Web,206.11,31.0
1308,Electronics,195.85,205.23,1,Summer,Regular,Wed,Web,145.25,197.0
1769,Fashion,289.5,134.32,0,Fall,Premium,Thu,Mobile App,289.5,25.0
1343,Electronics,290.32,142.32,0,Spring,Regular,Thu,Mobile App,290.32,32.0
1491,Home,119.56,55.55,0,Winter,Premium,Sat,Web,119.56,38.0
1413,Home,181.05,130.27,1,Winter,Regular,Wed,Mobile App,140.9,80.0
1805,Fashion,50.99,97.94,0,Fall,Regular,Tue,Mobile App,50.99,267.0
1385,Fashion,29.27,,1,Fall,Premium,Mon,Web,23.46,1782.0
1191,Fashion,135.51,73.0,0,Spring,Regular,Tue,Mobile App,135.51,33.0
1955,Fashion,210.07,188.3,1,Fall,Regular,Sun,Web,185.15,135.0
1276,Electronics,174.65,119.55,0,Fall,Regular,Sun,Web,174.65,50.0
1160,Grocery,134.6,110.43,0,Spring,Premium,Wed,Mobile App,134.6,85.0
1459,Electronics,247.25,98.61,1,Spring,Premium,Sun,Web,206.4,51.0
1313,Grocery,240.38,205.41,1,Summer,Regular,Sun,Mobile App,172.47,199.0
1021,Home,222.26,173.1,1,Fall,Regular,Fri,Web,196.93,105.0
1252,Fashion,32.34,257.0,0,Winter,Regular,Fri,Mobile App,32.34,1228.0
1747,Home,240.98,80.07,0,Summer,Regular,Mon,Web,240.98,13.0
1856,Fashion,276.63,21.63,1,Winter,,Mon,Web,235.76,3.0
1560,Fashion,27.24,62.79,0,Fall,Premium,Sat,Web,27.24,539.0
1474,Electronics,126.48,109.57,0,Summer,Regular,Wed,Web,126.48,94.0
1058,Fashion,296.62,62.1,0,Summer,Regular,Wed,Mobile App,296.62,9.0
1510,Electronics,183.78,34.22,0,Spring,Regular,Mon,Mobile App,-1.0,38.0
1681,Electronics,158.94,139.15,0,Fall,Regular,Fri,Web,158.94,126.0
1475,Fashion,61.46,206.31,0,Spring,Regular,Thu,Web,61.46,446.0
1699,Electronics,173.99,227.96,0,Fall,Regular,Thu,Web,173.99,136.0
1975,Fashion,0.0,125.63,0,Fall,Regular,Thu,Web,137.32,119.0
1782,Electronics,46.96,148.63,0,Fall,Premium,Fri,Mobile App,46.96,275.0
1189,Electronics,144.66,229.09,0,Fall,Regular,Tue,Web,144.66,222.0
1957,Electronics,57.68,112.29,0,Spring,Regular,Tue,Mobile App,57.68,291.0
1686,Grocery,221.89,237.58,1,Fall,Premium,Fri,Web,198.79,152.0
1957,Electronics,292.36,290.54,0,Fall,Regular,Sun,Mobile App,292.36,114.0
1562,Home,146.18,265.34,0,Summer,Regular,Tue,Web,146.18,202.0
1875,Electronics,193.39,141.54,0,Spring,Regular,Thu,Mobile App,193.39,66.0
1566,Grocery,134.98,178.06,0,Summer,Regular,Fri,Web,134.98,174.0
1243,Electronics,50.15,,0,Summer,Regular,Mon,Mobile App,50.15,387.0
1831,Grocery,291.46,111.3,0,Fall,Regular,Fri,Web,291.46,43.0
1504,Home,47.58,241.78,1,Spring,Regular,Wed,Mobile App,41.76,1427.0
