product_id,category,base_price,competitor_price,promotion_flag,season,customer_segment,day_of_week,channel,current_price,units_sold
1102,Electronics,153.93,23.94,True,Fall,Regular,Tue,Web,111.99,5.0
1435,Home,190.17,250.84,False,Spring,Premium,Sat,Mobile App,190.17,179.0
1860,Electronics,166.57,257.71,False,Summer,Regular,Mon,Web,166.57,141.0
1270,Electronics,215.97,238.38,False,Winter,Regular,Mon,Web,215.97,164.0
1106,Fashion,102.55,255.81,True,Spring,Regular,Mon,Web,81.71,1238.0
1071,Grocery,49.87,152.37,False,Winter,Premium,Sat,Web,49.87,349.0
1700,Electronics,15.11,281.87,False,Summer,Regular,Tue,Mobile App,15.11,2287.0
1020,Home,139.25,177.15,False,Summer,Regular,Sun,Mobile App,139.25,187.0
1614,Electronics,273.27,178.97,True,Summer,Regular,Mon,Web,202.1,114.0
1121,Home,98.53,259.37,True,Spring,Regular,Tue,Web,73.69,278.0
1466,Fashion,66.83,111.33,True,Spring,Regular,Mon,Web,52.83,658.0
1214,Home,278.55,24.52,False,Fall,Regular,Fri,Web,278.55,1.0
1330,Electronics,40.58,227.46,False,Spring,Regular,Tue,Web,40.58,5830.0
1458,Home,25.02,83.83,False,Spring,Regular,Fri,Web,25.02,406.0
1087,Grocery,265.03,147.53,False,Fall,Regular,Mon,Mobile App,265.03,100.0
1372,Home,213.26,150.595,False,Fall,Regular,Tue,Web,213.26,12.0
1099,Fashion,132.4,249.86,False,Summer,Regular,Sat,Web,132.4,519.0
1871,Grocery,228.18,287.9,False,Spring,Regular,Thu,Mobile App,228.18,154.0
1663,Electronics,225.02,25.96,True,Spring,Regular,Fri,Web,179.47,9.0
1130,Home,21.62,77.68,True,Spring,Regular,Sun,Web,18.52,1910.0
1661,Grocery,206.11,64.97,False,Summer,Regular,Wed,Web,206.11,31.0
1308,Electronics,195.85,205.23,True,Summer,Regular,Wed,Web,145.25,197.0
1769,Fashion,289.5,134.32,False,Fall,Premium,Thu,Mobile App,289.5,25.0
1343,Electronics,290.32,142.32,False,Spring,Regular,Thu,Mobile App,290.32,32.0
1491,Home,119.56,55.55,False,Winter,Premium,Sat,Web,119.56,38.0
1413,Home,181.05,130.27,True,Winter,Regular,Wed,Mobile App,140.9,80.0
1805,Fashion,50.99,97.94,False,Fall,Regular,Tue,Mobile App,50.99,267.0
1385,Fashion,29.27,154.24,True,Fall,Premium,Mon,Web,23.46,1782.0
1191,Fashion,135.51,73.0,False,Spring,Regular,Tue,Mobile App,135.51,33.0
1955,Fashion,210.07,188.3,True,Fall,Regular,Sun,Web,185.15,135.0
1276,Electronics,174.65,119.55,False,Fall,Regular,Sun,Web,174.65,50.0
1160,Grocery,134.6,110.43,False,Spring,Premium,Wed,Mobile App,134.6,85.0
1459,Electronics,247.25,98.61,True,Spring,Premium,Sun,Web,206.4,51.0
1313,Grocery,240.38,205.41,True,Summer,Regular,Sun,Mobile App,172.47,199.0
1021,Home,222.26,173.1,True,Fall,Regular,Fri,Web,196.93,105.0
1252,Fashion,32.34,257.0,False,Winter,Regular,Fri,Mobile App,32.34,1228.0
1747,Home,240.98,80.07,False,Summer,Regular,Mon,Web,240.98,13.0
1856,Fashion,276.63,21.63,True,Winter,Regular,Mon,Web,235.76,3.0
1560,Fashion,27.24,62.79,False,Fall,Premium,Sat,Web,27.24,539.0
1474,Electronics,126.48,109.57,False,Summer,Regular,Wed,Web,126.48,94.0
1058,Fashion,296.62,62.1,False,Summer,Regular,Wed,Mobile App,296.62,9.0
1681,Electronics,158.94,139.15,False,Fall,Regular,Fri,Web,158.94,126.0
1475,Fashion,61.46,206.31,False,Spring,Regular,Thu,Web,61.46,446.0
1699,Electronics,173.99,227.96,False,Fall,Regular,Thu,Web,173.99,136.0
1782,Electronics,46.96,148.63,False,Fall,Premium,Fri,Mobile App,46.96,275.0
